asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2020.count,gpw_v4_rev11_density.2020.count,gpw_v4_rev11_density.2020.mean,gpw_v4_rev11_density.2020.max,gpw_v4_rev11_density.2020.min,gdp_grid.none.sum,gdp_grid.none.mean,gdp_grid.none.max,gdp_grid.none.min,distance_to_gemdata_201708.none.mean,distance_to_gemdata_201708.none.max,distance_to_gemdata_201708.none.min,dist_to_onshore_petroleum_v12.none.mean,dist_to_onshore_petroleum_v12.none.max,dist_to_onshore_petroleum_v12.none.min,accessibility_to_cities_2015_v1.0.mean,accessibility_to_cities_2015_v1.0.max,accessibility_to_cities_2015_v1.0.min,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
10,5000878.5,7020.14990234,7020.66992188,999.24719195,7326.09814453,45.7800483704,165213.5,23.7252380313,386.585845947,0.0,116580.561749,169108.332909,58650.2172696,169527.566629,219218.683728,118062.935598,6.40476370062,37.0,0.0,33.4561835316,293.0,0.0,ADM1,10,10,JPN,JPN-ADM1-47310658B63452999,JP-40,Fukuoka Prefecture,ADM1
11,7509950.5,5495.26025391,5495.30029297,1933.42174336,17540.4589844,6.2047586441,211785.65625,38.796218803,192.113464355,0.0,97102.3259208,142572.759053,48989.8184525,21627.3819365,79168.7666917,0.0,7.78351648774,116.0,0.0,36.266797726,443.0,0.0,ADM1,11,11,JPN,JPN-ADM1-47310658B8322453,JP-11,Saitama,ADM1
12,1898087.75,20132.28125,20248.5605469,134.676458218,422.866516113,0.0,99031.140625,4.89182923218,158.873641968,0.0,147637.5236,215970.79244,88996.4569915,30899.1149286,100611.68265,0.0,26.0650648294,243.0,0.0,101.34563098,848.0,0.0,ADM1,12,12,JPN,JPN-ADM1-47310658B85464875,JP-07,Fukushima,ADM1
13,1990874.875,9334.75976562,9339.70996094,301.378044546,1214.1427002,0.0,98534.203125,10.6042402217,169.470611572,0.0,98086.1603646,138709.255859,49417.6860676,21766.7063485,52860.9315019,0.0,22.9818520047,193.0,0.0,58.1895341636,512.0,0.0,ADM1,13,13,JPN,JPN-ADM1-47310658B81662238,JP-09,Tochigi,ADM1
14,1226160.375,14765.4990234,14863.1894531,126.913020944,691.54095459,0.0,79534.5703125,5.37143824716,182.690765381,0.0,250866.456499,330040.934372,183225.906635,55394.3243954,140264.46,0.0,33.2824664864,187.0,0.0,156.072182233,1146.0,0.0,ADM1,14,14,JPN,JPN-ADM1-47310658B81567137,JP-02,Aomori,ADM1
15,810008.0,3438.47998047,3438.7199707,334.906838652,4195.73535156,112.527961731,44242.3632812,12.9729800641,157.41444397,0.0,99400.078677,123363.792948,66244.1979214,168678.062572,214699.213701,132030.127707,12.1429367487,63.0,0.0,52.6628902412,325.0,0.0,ADM1,15,15,JPN,JPN-ADM1-47310658B24321305,JP-41,Saga Prefecture,ADM1
16,1215603.48633,5918.90983772,5918.57024765,305.470080842,1337.93200684,42.2954177856,43296.8480835,7.48417499375,143.535812378,0.0,83951.8028722,213326.409404,2412.1856942,198917.804679,335422.582434,101669.730805,72.3840668805,469.0,0.0,146.788676639,503.0,0.0,ADM1,16,16,JPN,JPN-ADM1-47310658B47198681,JP-42,Nagasaki Prefecture,ADM1
17,1082960.5,10707.7294922,10706.9697266,138.308770506,588.688537598,4.302942276,40619.703125,3.80707070071,186.063339233,0.0,69302.6307498,105116.747356,30949.3885515,25865.4893409,90334.0406845,0.0,23.135721962,89.0,0.0,98.4664662121,503.0,0.0,ADM1,17,17,JPN,JPN-ADM1-47310658B11292297,JP-45,Miyazaki Prefecture,ADM1
18,1734489.25,10326.3105469,10326.7099609,231.250291347,1792.52270508,4.30294370651,73860.1015625,7.16504981261,209.606155396,0.0,41001.823056,87042.3679505,0.0,77761.0405141,130970.192115,11740.4459236,26.2305909506,91.0,0.0,101.097604995,379.0,0.0,ADM1,18,18,JPN,JPN-ADM1-47310658B22461645,JP-43,Kumamoto,ADM1
19,1550683.58752,12674.4499817,12680.0401001,169.858605182,1007.9677124,0.0,54836.5138707,4.3218265948,197.867172241,0.0,49438.3827339,188975.414218,0.0,86082.2844201,329686.334887,0.0,112.243034533,843.0,0.0,139.746834028,850.0,0.0,ADM1,19,19,JPN,JPN-ADM1-47310658B14070723,JP-46,Kagoshima Prefecture,ADM1
